% group, sample size, group 2, sample size 2, behavior, feature, d-prime, d-prime all-frames
WingExtension, 312100, all frames, 472072, WingExtenstion, wing_areal_mm,   0.87405, 
WingExtension, 312100, not during, 159972, WingExtenstion, ecc,   0.85354, 
WingExtension, 312100, all frames, 472072, WingExtenstion, wing_arear,   0.77872, 
WingExtension, 312100, all frames, 472072, WingExtenstion, wing_arear_mm,   0.77872, 
WingExtension, 312100, all frames, 472032, WingExtenstion, da,    0.7553, 
WingExtension, 312100, all frames, 472072, WingExtenstion, angle_smallest_wing,   0.73314, 
WingExtension, 312100, not during, 159932, WingExtenstion, dt,   0.72534, 
WingExtension, 312100, all frames, 472072, WingExtenstion, min_wing_area,   0.72321, 
WingExtension, 312100, not during, 159932, WingExtenstion, dmin_wing_area,   0.71636, 
WingExtension, 312100, all frames, 472032, WingExtenstion, min_absdwing_area,   0.71575, 
WingExtension, 312100, not during, 159932, WingExtenstion, absdtheta,   0.69839, 
WingExtension, 312100, all frames, 472032, WingExtenstion, darea_inmost_wing,   0.67376, 
WingExtension, 312100, all frames, 472072, WingExtenstion, area_inmost_wing,   0.66542, 
WingExtension, 312100, all frames, 472072, WingExtenstion, min_wing_angle,   0.64314, 
WingExtension, 312100, not during, 159972, WingExtenstion, a,   0.62931, 
WingExtension, 312100, not during, 159972, WingExtenstion, a_mm,   0.62931, 
WingExtension, 312100, all frames, 472072, WingExtenstion, timestamps,   0.62458, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dwing_angle_imbalance,   0.60814, 
WingExtension, 312100, not during, 159972, WingExtenstion, area,    0.5862, 
WingExtension, 312100, not during, 159932, WingExtenstion, decc,   0.57927, 
WingExtension, 312100, all frames, 472032, WingExtenstion, max_dwing_angle_out,   0.56388, 
WingExtension, 312100, all frames, 472032, WingExtenstion, min_dwing_angle_in,   0.56388, 
WingExtension, 312100, not during, 159972, WingExtenstion, wing_trough_angle,   0.50722, 
WingExtension, 312100, all frames, 472032, WingExtenstion, min_absdwing_angle,   0.44872, 
WingExtension, 312100, not during, 159972, WingExtenstion, theta,   0.42571, 
WingExtension, 312100, not during, 159972, WingExtenstion, theta_mm,   0.42571, 
WingExtension, 312100, not during, 159932, WingExtenstion, max_absdwing_angle,   0.41724, 
WingExtension, 312100, not during, 159972, WingExtenstion, b,   0.34552, 
WingExtension, 312100, not during, 159972, WingExtenstion, b_mm,   0.34552, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dmin_wing_area,   0.30201, 
WingExtension, 312100, all frames, 472032, WingExtenstion, max_absdwing_angle,   0.29801, 
WingExtension, 312100, all frames, 472072, WingExtenstion, ecc,   0.22031, 
WingExtension, 312100, all frames, 472032, WingExtenstion, absdtheta,   0.17786, 
WingExtension, 312100, not during, 159972, WingExtenstion, closestfly_center,   0.16063, 
WingExtension, 312100, not during, 159972, WingExtenstion, x,   0.16052, 
WingExtension, 312100, not during, 159932, WingExtenstion, signdtheta,   0.15088, 
WingExtension, 312100, all frames, 472072, WingExtenstion, a,   0.13155, 
WingExtension, 312100, all frames, 472072, WingExtenstion, a_mm,   0.13155, 
WingExtension, 312100, all frames, 472072, WingExtenstion, area,   0.12131, 
WingExtension, 312100, all frames, 472072, WingExtenstion, wing_trough_angle,   0.11486, 
WingExtension, 312100, all frames, 472032, WingExtenstion, dtheta,   0.11072, 
WingExtension, 312100, all frames, 472072, WingExtenstion, x,  0.092277, 
WingExtension, 312100, all frames, 472072, WingExtenstion, closestfly_center,  0.078402, 
WingExtension, 312100, all frames, 472072, WingExtenstion, theta,  0.065863, 
WingExtension, 312100, all frames, 472072, WingExtenstion, theta_mm,  0.065863, 
WingExtension, 312100, all frames, 472072, WingExtenstion, b,  0.062281, 
WingExtension, 312100, all frames, 472072, WingExtenstion, b_mm,  0.062281, 
WingExtension, 312100, not during, 159932, WingExtenstion, dtheta,  0.058788, 
WingExtension, 312100, not during, 159972, WingExtenstion, y,  0.037891, 
WingExtension, 312100, all frames, 472072, WingExtenstion, y,  0.033048, 
WingExtension, 312100, all frames, 472032, WingExtenstion, decc,  0.023578, 
WingExtension, 312100, all frames, 472032, WingExtenstion, signdtheta, 0.0085803, 
